macrorep i x y cond_mean cei lf hf maxcei x_star lf_next hf_next
0.000000000000000000e+00 9.400000000000000000e+01 1.000000000000000021e-02 0.000000000000000000e+00 7.586478335511787801e-05 2.246435397466341188e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 9.400000000000000000e+01 2.000000000000000042e-02 0.000000000000000000e+00 7.586478335511787801e-05 2.326351509690331720e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 9.400000000000000000e+01 2.999999999999999889e-02 0.000000000000000000e+00 7.586478335511787801e-05 2.327663125468659722e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 9.400000000000000000e+01 4.000000000000000083e-02 0.000000000000000000e+00 7.586478335511787801e-05 2.327684544598086769e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 9.400000000000000000e+01 5.000000000000000278e-02 0.000000000000000000e+00 7.586478335511787801e-05 2.327684894351489397e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 9.400000000000000000e+01 6.000000000000000472e-02 0.000000000000000000e+00 7.586478335511787801e-05 2.327684900062611251e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 9.400000000000000000e+01 6.999999999999999278e-02 0.000000000000000000e+00 7.586478335511787801e-05 2.327684900155871373e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 9.400000000000000000e+01 8.000000000000000167e-02 0.000000000000000000e+00 7.586478335511787801e-05 2.327684900157390990e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 9.400000000000000000e+01 8.999999999999999667e-02 0.000000000000000000e+00 7.586478335511787801e-05 2.327684900157415970e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 9.400000000000000000e+01 9.999999999999999167e-02 0.000000000000000000e+00 7.586478335511787801e-05 2.327684900157415970e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 9.400000000000000000e+01 1.100000000000000006e-01 0.000000000000000000e+00 7.586478335511787801e-05 2.327684900157415970e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 9.400000000000000000e+01 1.199999999999999956e-01 0.000000000000000000e+00 7.586478335511787801e-05 2.327684900157415970e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 9.400000000000000000e+01 1.300000000000000044e-01 0.000000000000000000e+00 7.586478335511787801e-05 2.327684900157415970e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 9.400000000000000000e+01 1.400000000000000133e-01 0.000000000000000000e+00 7.586478335511787801e-05 2.327684900157415970e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 9.400000000000000000e+01 1.500000000000000222e-01 0.000000000000000000e+00 7.586478335511787801e-05 2.327684900157415970e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 9.400000000000000000e+01 1.600000000000000033e-01 0.000000000000000000e+00 7.586478335511787801e-05 2.327684900157415970e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 9.400000000000000000e+01 1.700000000000000122e-01 0.000000000000000000e+00 7.586478335511787801e-05 2.327684900157415970e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 9.400000000000000000e+01 1.800000000000000211e-01 0.000000000000000000e+00 7.586478335511787801e-05 2.327684900157415970e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 9.400000000000000000e+01 1.900000000000000022e-01 0.000000000000000000e+00 7.586478335511787801e-05 2.327684900157415970e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 9.400000000000000000e+01 2.000000000000000111e-01 0.000000000000000000e+00 7.586478335511787801e-05 2.327684900157415970e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
